Tarih,KT1,KT2,KT3,KT4,KT5,KT6,KT7,KT8,KT9,KT10,KT11,KT12,KT13,KT14,KT15,KT16,KT17,KT18,KT19,KT20
15.05.2020,17296531,29604,759755,1408151,324878,1650300,947019,55560,1297911,23402,2267,156566,4488546,648423,560852,126828,386171,243403,850851,545284
22.05.2020,16672019,18158,800993,1526648,305038,1399475,1024863,77262,1104232,23717,2640,130243,4615152,566694,555650,120844,312035,250011,912942,471359
29.05.2020,14364906,16669,615078,1093560,373320,1276169,663058,91239,945280,21976,2435,105890,3355683,462842,458742,123238,276583,238470,1516278,454884
5.06.2020,19348983,35333,1025961,1460326,446423,1877755,1179077,163606,1280142,49958,6132,188239,4128490,798076,699959,238570,361878,466009,1162306,548456
12.06.2020,20087612,46480,1163572,1561705,467675,1822695,1497068,169290,1242934,80102,10861,213482,4491599,892660,762056,247336,404450,654558,463455,551064
19.06.2020,21188045,39748,1166618,1575471,536398,1847415,1771129,231816,1313048,102853,13321,235161,4615743,916266,866831,265908,369950,741426,554903,573679
26.06.2020,20137021,38879,1231296,1485404,554590,1714537,1571609,242051,1212735,130541,14241,207618,4339636,825762,784273,291673,356253,771513,607952,537578
3.07.2020,20908448,48628,1273513,1521194,596062,1668002,1417739,304146,1317195,163240,16492,228681,4206810,809770,745747,376350,370483,786413,822279,647025
10.07.2020,21585208,62573,1372115,1555912,467205,1780710,1782431,350221,1272100,227724,19804,277599,4351177,840512,810185,454829,410376,904995,772253,571113
17.07.2020,22525159,59644,1446183,1543176,450324,1703743,1801345,385502,1310675,285243,23506,301793,4477912,907665,852928,507740,557627,984677,806990,678049
24.07.2020,23232308,63248,1498763,1543011,547246,1707510,1792403,388025,1312278,322203,25657,310188,4509041,871230,888242,539992,520787,1014116,1091566,725059
31.07.2020,24408730,67659,1620469,1605861,507839,1558821,2079585,419564,1151870,355834,28205,320698,4720646,837205,748850,520538,462009,1037924,1872113,829220
7.08.2020,19909368,61532,1551693,1325529,472190,1504678,1304376,400607,1216193,428679,30260,276425,3756255,600323,639616,460006,532059,973361,1024971,637206
14.08.2020,22132716,76421,1529506,1552992,565941,1805584,1499151,442850,1318607,432656,27948,313180,4358194,828872,864639,488467,457899,1030958,572708,627603
21.08.2020,23233181,66763,1560464,1557018,711345,1913725,1587746,418671,1394634,440855,29512,324964,4623283,840896,982607,462106,539517,1064526,653188,674098
28.08.2020,22509859,62056,1507914,1551757,864337,1772787,1418486,413649,1317879,411515,28270,303554,4482242,838828,871054,435312,472750,1048182,731372,647016
4.09.2020,23650036,64792,1501017,1504190,1508690,1976275,1327226,399209,1428478,376924,26472,288586,4598349,853288,882087,415080,510830,1021234,654564,779320
11.09.2020,23283356,74161,1463236,1559621,901217,2193923,1670712,380643,1400495,348902,25182,296369,4703820,811228,908034,393921,572493,1031187,474433,700095
18.09.2020,23323787,60622,1535718,1589644,888854,2098114,1510207,400490,1476414,333114,23249,303786,4643944,831823,1042124,372886,537884,1031300,483387,715940
25.09.2020,23019872,58026,1336618,1556227,1066532,2096853,1635132,410620,1358402,303023,23041,298659,4590246,831684,936671,343176,508923,1017342,523202,707628
2.10.2020,24292192,60077,1477929,1573387,876190,2070287,1611713,426895,1474005,296263,23253,280602,4700555,900454,902349,351001,502851,1039272,872994,801413
9.10.2020,23597493,70151,1461842,1593745,708234,2253621,2037304,391454,1391938,284643,23567,274251,4784270,837811,879966,353865,578522,1054159,499554,681463
16.10.2020,23417156,57951,1440000,1649860,665882,1996701,1930767,372958,1452821,263545,23791,291694,4683375,868635,959852,335838,517047,1095734,491044,714513
23.10.2020,22797776,57766,1412922,1595069,519811,1976007,1941005,383190,1355749,242932,23476,277041,4602683,860883,979947,318540,520212,1025032,521208,704029
30.10.2020,22907457,55504,1457315,1560712,436980,1951170,1855453,339113,1332087,238998,22654,247935,4615567,898648,873647,306160,421591,1059388,784663,756270
6.11.2020,23655157,55120,1494706,1623269,437115,2116534,1864408,344912,1546487,224043,19096,235359,4733629,861976,915558,311113,513380,950444,627475,805807
13.11.2020,25647861,65172,1451356,1664644,416606,3314482,2519801,348329,1462277,184585,15841,279742,5051645,884071,979255,292523,500952,948284,480193,891444
20.11.2020,23862998,50832,1463983,1684551,390681,1831639,1775807,352336,1356811,184880,15355,273200,4867201,828432,1058923,293732,506137,933314,744052,774148
27.11.2020,24565405,46691,1451876,1538582,352121,3213844,2102564,331738,1493301,152535,4554,231234,4950422,833611,940699,275658,493215,533443,1149478,959323
4.12.2020,23248555,43112,1266082,1638452,363867,2132495,1514840,335932,1465578,145531,4467,226144,5127935,853658,883803,271993,520327,509736,1227801,911824
11.12.2020,20155462,49035,1211064,1549815,344071,1797848,1238313,348726,1271923,125245,9366,195160,4668279,634733,818219,286146,558528,469638,559460,770032
18.12.2020,21638680,41313,1213110,1631259,374582,2030939,1377568,374390,1368617,134948,6879,222721,5008410,698146,949077,314058,539339,501287,640751,779359
25.12.2020,22427659,42525,1230656,1645667,387508,2261935,1624880,315043,1326196,137115,3571,245073,5117906,731263,893912,293819,529736,505926,807505,787532
1.01.2021,23770628,40471,1227518,1832371,432409,2023385,1391711,241112,1450908,148898,3842,325187,5574877,782179,822919,305653,459052,537416,1293298,938424
8.01.2021,20198778,43099,1191097,1557907,388330,1716058,1265913,289644,1329931,146722,3292,239596,4508438,601335,802141,328159,615913,515594,687410,960428
